Inguinal hernia	HP:0000023
Abnormal connection between rectum and vagina	HP:0000143
Rectovaginal fistula	HP:0000143
GI angiodysplasia	HP:0000471
Gastrointestinal angiodysplasia	HP:0000471
Jaundice	HP:0000952
Yellowing of the skin	HP:0000952
Icterus	HP:0000952
Yellow skin	HP:0000952
Intermittent yellow skin	HP:0001046
Intermittent yellowing of skin	HP:0001046
Intermittent icterus	HP:0001046
Intermittent jaundice	HP:0001046
Biliary tract disease	HP:0001080
Biliary tract abnormality	HP:0001080
Cholelithiasis	HP:0001081
Gallstones	HP:0001081
Cholecystitis	HP:0001082
Gallbladder inflammation	HP:0001082
Liver abnormality	HP:0001392
Abnormal liver	HP:0001392
Liver disease	HP:0001392
Abnormality of the liver	HP:0001392
Hepatic cirrhosis	HP:0001394
Liver cirrhosis	HP:0001394
Scar tissue replaces healthy tissue in the liver	HP:0001394
Cirrhosis	HP:0001394
Hepatic fibrosis	HP:0001395
Slowed or blocked flow of bile from liver	HP:0001396
Cholestasis	HP:0001396
Liver steatosis	HP:0001397
Fatty infiltration of liver	HP:0001397
Fatty liver	HP:0001397
Hepatic steatosis	HP:0001397
Steatosis	HP:0001397
Hepatic failure	HP:0001399
Liver failure	HP:0001399
Intrahepatic biliary dysgenesis	HP:0001401
Increased incidence of hepatocellular carcinoma	HP:0001402
Increased hepatocellular carcinoma risk	HP:0001402
Hepatocellular carcinoma	HP:0001402
Macrovesicular hepatic steatosis	HP:0001403
Macrovesicular steatosis	HP:0001403
Death of liver cells	HP:0001404
Hepatocellular loss	HP:0001404
Hepatocellular necrosis	HP:0001404
Periportal fibrosis	HP:0001405
Impaired release of bile from liver	HP:0001406
Intrahepatic cholestasis	HP:0001406
Hepatic cysts	HP:0001407
Liver cysts	HP:0001407
Bile duct proliferation	HP:0001408
Proliferation of bile canaliculi	HP:0001408
Portal hypertension	HP:0001409
Liver dysfunction	HP:0001410
Decreased liver function	HP:0001410
Liver dysfunction, mild	HP:0001410
Enteroviral hepatitis	HP:0001412
Micronodular cirrhosis	HP:0001413
Microvesicular hepatic steatosis	HP:0001414
Microvesicular steatosis	HP:0001414
Enlarged liver and spleen	HP:0001433
Hepatosplenomegaly	HP:0001433
Abdomen abnormality	HP:0001438
Abnormality of abdomen morphology	HP:0001438
Abnormality of the abdomen	HP:0001438
Umbilical hernia	HP:0001537
Umbilical hernias	HP:0001537
Protuberant abdomen	HP:0001538
Belly sticks out	HP:0001538
Abdominal protuberance	HP:0001538
Extended belly	HP:0001538
Omphalocele	HP:0001539
Omphalocoele	HP:0001539
Diastasis recti	HP:0001540
Gap between large left and right abdominal muscles	HP:0001540
Ascites	HP:0001541
Accumulation of fluid in the abdomen	HP:0001541
Gastroschisis	HP:0001543
Prominent belly button	HP:0001544
Prominent navel	HP:0001544
Prominent umbilicus	HP:0001544
Anteriorly placed anus	HP:0001545
Anteriorly displaced anus	HP:0001545
Anus anteposition	HP:0001545
Abnormality of the ileum	HP:0001549
Abnormal ileum morphology	HP:0001549
Abnormal umbilicus	HP:0001551
Abnormal umbilicus morphology	HP:0001551
Abnormal belly button	HP:0001551
Abnormal navel	HP:0001551
Pancreatic disease	HP:0001732
Abnormality of the pancreas	HP:0001732
Pancreatic inflammation	HP:0001733
Pancreatitis	HP:0001733
Annular pancreas	HP:0001734
Pancreatitis, acute	HP:0001735
Acute pancreatitis	HP:0001735
Acute pancreatic inflammation	HP:0001735
Pancreatic cysts	HP:0001737
Pancreatic cyst	HP:0001737
Multiple pancreatic cysts	HP:0001737
Inability to properly digest food due to lack of pancreatic digestive enzymes	HP:0001738
Exocrine pancreatic insufficiency	HP:0001738
Pancreatic insufficiency	HP:0001738
Abnormality of the spleen	HP:0001743
Increased spleen size	HP:0001744
Splenomegaly	HP:0001744
Asplenia	HP:0001746
Absent spleen	HP:0001746
Accessory spleen	HP:0001747
Multiple small spleens	HP:0001748
Polysplenia	HP:0001748
Multiple accessory spleens	HP:0001748
Accessory spleens	HP:0001748
Fetal ascites	HP:0001791
Hypersplenism	HP:0001971
Gastrointestinal tract defects	HP:0002012
Abnormality of the abdominal organs	HP:0002012
Throwing up	HP:0002013
Emesis	HP:0002013
Vomiting	HP:0002013
Diarrhoea	HP:0002014
Watery stool	HP:0002014
Diarrhea	HP:0002014
Swallowing difficulty	HP:0002015
Deglutition disorder	HP:0002015
Poor swallowing	HP:0002015
Swallowing difficulties	HP:0002015
Dysphagia	HP:0002015
Nausea and vomiting	HP:0002017
Nausea	HP:0002018
Costiveness	HP:0002019
Constipation	HP:0002019
Dyschezia	HP:0002019
Heartburn	HP:0002020
Acid reflux disease	HP:0002020
Acid reflux	HP:0002020
GERD	HP:0002020
Gastroesophageal reflux	HP:0002020
Gastroesophageal reflux disease	HP:0002020
Pyloric stenosis	HP:0002021
Imperforate anus	HP:0002023
Anal atresia	HP:0002023
Absent anus	HP:0002023
Intestinal malabsorption	HP:0002024
Malabsorption	HP:0002024
Narrowing of anal opening	HP:0002025
Anal stenosis	HP:0002025
Abdominal discomfort	HP:0002027
Stomach pain	HP:0002027
Gastrointestinal pain	HP:0002027
Pain in stomach	HP:0002027
Abdominal pain	HP:0002027
Upset stomach	HP:0002027
Gastro pain	HP:0002027
Chronic diarrhea	HP:0002028
Recurrent diarrhea	HP:0002028
Diarrhea, recurrent	HP:0002028
Anomaly of the esophagus	HP:0002031
Abnormal esophagus morphology	HP:0002031
Abnormality of esophagus morphology	HP:0002031
Birth defect in which part of esophagus did not develop	HP:0002032
Esophageal atresia	HP:0002032
Poor suck	HP:0002033
Poor sucking	HP:0002033
Anomaly of the rectum	HP:0002034
Abnormality of the rectum	HP:0002034
Rectal prolapsed	HP:0002035
Rectum protrudes through anus	HP:0002035
Rectal prolapse	HP:0002035
Hiatus hernia	HP:0002036
Stomach hernia	HP:0002036
Hiatal hernia	HP:0002036
Inflammation of the large intestine	HP:0002037
Inflammatory bowel disease	HP:0002037
Protein avoidance	HP:0002038
Anorexia	HP:0002039
Enlarged vein in esophagus	HP:0002040
Esophageal varix	HP:0002040
Esophageal varices	HP:0002040
Intractable diarrhea	HP:0002041
Narrowing of esophagus due to inflammation and scar tissue	HP:0002043
Esophageal stricture	HP:0002043
Zollinger-Ellison syndrome	HP:0002044
Neuromuscular dysphagia	HP:0002068
Gastrointestinal bleeding	HP:0002239
Gastrointestinal hemorrhage	HP:0002239
GI hemorrhage	HP:0002239
Hepatomegaly	HP:0002240
Enlarged liver	HP:0002240
Abnormal intestine morphology	HP:0002242
Enteropathy	HP:0002242
Abnormality of the intestine	HP:0002242
Protein-losing enteropathy	HP:0002243
Abnormality of the small intestine	HP:0002244
Meckel diverticulum	HP:0002245
Abnormality of the duodenum	HP:0002246
Duodenal atresia	HP:0002247
Absence or narrowing of first part of small bowel	HP:0002247
Vomitting blood	HP:0002248
Hematemesis	HP:0002248
Melena	HP:0002249
Black feces	HP:0002249
Abnormal large intestine morphology	HP:0002250
Abnormality of the large intestine	HP:0002250
Aganglionic megacolon	HP:0002251
Megacolon	HP:0002251
Hirschsprung megacolon	HP:0002251
Congenital megacolon	HP:0002251
Hirschsprung disease	HP:0002251
Enlarged colon lacking nerve cells	HP:0002251
Colon diverticula	HP:0002253
Colonic diverticula	HP:0002253
Colonic diverticulosis	HP:0002253
Intermittent diarrhea	HP:0002254
Small bowel diverticula	HP:0002256
Malrotation	HP:0002566
Gut malrotation	HP:0002566
Intestinal malrotation	HP:0002566
Fat in feces	HP:0002570
Steatorrhea	HP:0002570
Achalasia	HP:0002571
Achalasia of the esophagus	HP:0002571
Frequent vomiting	HP:0002572
Episodic vomiting	HP:0002572
Rectal bleeding	HP:0002573
Recurrent rectal bleeding	HP:0002573
Hematochezia	HP:0002573
Episodic abdominal pain	HP:0002574
Intermittent abdominal pain	HP:0002574
Abnormal connection between trachea and esophagus	HP:0002575
Tracheoesophageal fistula	HP:0002575
Intussusception	HP:0002576
Abnormality of the stomach	HP:0002577
Gastroparesis	HP:0002578
Delayed gastric emptying	HP:0002578
Gastrointestinal dysmotility	HP:0002579
GI dysmotility	HP:0002579
Volvulus	HP:0002580
Chronic atrophic gastritis	HP:0002582
Colitis	HP:0002583
Intestinal bleeding	HP:0002584
Intestinal hemorrhage	HP:0002584
Abnormality of the peritoneum	HP:0002585
Inflammation of the peritoneum	HP:0002586
Peritonitis	HP:0002586
Projectile vomiting	HP:0002587
Duodenal ulcer	HP:0002588
GI atresia	HP:0002589
Gastrointestinal atresia	HP:0002589
Paralytic ileus	HP:0002590
Stomach ulcer	HP:0002592
Gastric ulcer	HP:0002592
Intestinal lymphangiectasia	HP:0002593
Hypoplastic pancreas	HP:0002594
Pancreatic hypoplasia	HP:0002594
Underdeveloped pancreas	HP:0002594
Gastrointestinal atony	HP:0002595
Ileus	HP:0002595
GI telangiectasia	HP:0002604
Small, enlarged blood vessels near skin	HP:0002604
Gastrointestinal telangiectasia	HP:0002604
Hepatic necrosis	HP:0002605
Fecal incontinence	HP:0002607
Bowel incontinence	HP:0002607
Loss of bowel control	HP:0002607
Anal incontinence	HP:0002607
Celiac sprue	HP:0002608
Celiac disease	HP:0002608
Cholestatic liver disease	HP:0002611
Congenital hepatic fibrosis	HP:0002612
Excessive buildup of connective tissue and scarring of liver at birth	HP:0002612
Primary biliary cirrhosis	HP:0002613
Biliary cirrhosis	HP:0002613
Hepatic periportal necrosis	HP:0002614
Gastrointestinal arteriovenous malformation	HP:0002629
GI arteriovenous malformation	HP:0002629
Fat malabsorption	HP:0002630
GI carcinoma	HP:0002672
Gastrointestinal carcinoma	HP:0002672
Ectopia vesicae	HP:0002836
Bladder exstrophy	HP:0002836
Hepatoblastoma	HP:0002884
Neoplasm of the pancreas	HP:0002894
Neoplasia of the pancreas	HP:0002894
Pancreatic cancer	HP:0002894
increased risk of pancreatic cancer	HP:0002894
Pancreatic tumor	HP:0002894
Cancer of the pancreas	HP:0002894
Neoplasm of the liver	HP:0002896
Liver cancer	HP:0002896
Liver tumor	HP:0002896
High liver enzymes	HP:0002910
Subclinical abnormal liver function tests	HP:0002910
Abnormal liver function tests	HP:0002910
Elevated transaminases	HP:0002910
Elevated liver function tests	HP:0002910
Increased liver enzymes	HP:0002910
Increased transaminases	HP:0002910
Elevated serum transaminases	HP:0002910
Elevated hepatic transaminase	HP:0002910
Abnormal liver function	HP:0002910
Increased liver function tests	HP:0002910
Elevated liver enzymes	HP:0002910
Abnormal liver enzymes	HP:0002910
Ventral hernia	HP:0002933
Colon cancer	HP:0003003
Abdominal distention	HP:0003270
Abdominal swelling	HP:0003270
Abdominal distension	HP:0003270
Bloating	HP:0003270
Abdominal bloating	HP:0003270
Distended abdomen	HP:0003270
Belly bloating	HP:0003270
Visceromegaly	HP:0003271
Situs inversus visceralis	HP:0003363
Abdominal situs inversus	HP:0003363
Situs inversus viscerum	HP:0003363
Abnormality of the mucous membrane layer of stomach	HP:0004295
Abnormality of the gastric mucosa	HP:0004295
Abnormality of gastrointestinal vasculature	HP:0004296
Abnormality of GI blood vessels	HP:0004296
Abnormality of GI vasculature	HP:0004296
Abnormality of the biliary system	HP:0004297
Abnormality of external features of the abdomen	HP:0004298
Abnormality of the abdominal wall	HP:0004298
Herniated abdominal wall	HP:0004299
Hernia of the abdominal wall	HP:0004299
Abnormality of the enteric ganglia	HP:0004362
Abnormality of enteric ganglion morphology	HP:0004362
Abnormality of the anus	HP:0004378
Protracted diarrhea	HP:0004385
Gastrointestinal inflammation	HP:0004386
GI inflammation	HP:0004386
Enterocolitis	HP:0004387
Microcolon	HP:0004388
Microcolon on contrast enema	HP:0004388
Intestinal pseudo-obstruction	HP:0004389
Intestinal pseudoobstruction	HP:0004389
Gastrointestinal hamartomatous polyps	HP:0004390
